LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_7,7,7,6,0,0,0,0,0,5.0,13.0,18.0,1.5,835.3425925925925,317.4185185185185,0.0,5.833981200178221,12.691379401432778,1.0482201257839854,4.279220535922654,4.747988092166425,3.8333333333333335,29.169906000891103,13.83188747464034,0.05142286025721773,0.3,0.05142286025721772,1.5525575967420204
Track_8,8,8,5,0,0,0,0,0,4.0,29.0,33.0,31.992548972754697,639.2812748987038,727.0531195660262,0.0,9.798776678960973,13.004557664674284,5.734963036665859,10.322483239294852,3.0098535705043865,439.8,39.1951067158439,31.992548972754697,0.8162383433394838,7.998137243188674,0.8162383433394839,0.8074312475543932
Track_9,9,9,3,0,0,0,0,0,2.0,34.0,36.0,4.933783763220851,854.9444444444443,320.21111111111105,0.0,5.060144297006512,7.458626623656046,2.661661970356979,7.458626623656046,3.3919662354599462,4.0,10.120288594013024,7.458626623656046,0.4875141373082568,2.4668918816104255,0.4875141373082568,2.8818987887689844
Track_10,10,10,2,0,0,0,0,0,1.0,34.0,35.0,8.296957645597578,853.3888888888889,314.94444444444446,0.0,8.296957645597578,8.296957645597578,8.296957645597578,8.296957645597578,NaN,3.5,8.296957645597578,8.296957645597578,1.0,8.296957645597578,1.0,NaN
Track_11,11,11,2,0,0,0,0,0,1.0,35.0,36.0,2.240998139811166,707.8426874898323,741.3975923214575,0.0,2.240998139811166,2.240998139811166,2.240998139811166,2.240998139811166,NaN,171.0,2.240998139811166,2.240998139811166,1.0,2.240998139811166,1.0,NaN
Track_12,12,12,2,0,0,0,0,0,1.0,37.0,38.0,8.16649471900222,754.9987045341306,746.1461883408072,0.0,8.16649471900222,8.16649471900222,8.16649471900222,8.16649471900222,NaN,168.0,8.16649471900222,8.16649471900222,1.0,8.16649471900222,1.0,NaN
Track_13,13,13,2,0,0,0,0,0,1.0,38.0,39.0,3.178777192819155,779.0790172642762,754.8187250996016,0.0,3.178777192819155,3.178777192819155,3.178777192819155,3.178777192819155,NaN,128.5,3.178777192819155,3.178777192819155,1.0,3.178777192819155,1.0,NaN
Track_14,14,14,3,0,0,0,0,0,2.0,41.0,43.0,6.990678084137429,845.9008714596949,312.9967320261438,0.0,7.4627263722451485,7.504731018119157,7.420721726371139,7.504731018119157,0.05940353987770304,6.333333333333333,14.925452744490297,7.504731018119157,0.46837293339178776,3.4953390420687147,0.46837293339178776,2.1667557656671015
Track_15,15,15,2,0,0,0,0,0,1.0,41.0,42.0,9.064848187420653,836.0477855477856,321.6165501165501,0.0,9.064848187420653,9.064848187420653,9.064848187420653,9.064848187420653,NaN,5.5,9.064848187420653,9.064848187420653,1.0,9.064848187420653,1.0,NaN
Track_16,16,16,2,0,0,0,0,0,1.0,40.0,41.0,6.325715654267414,820.1885702838829,768.2291895604396,0.0,6.325715654267414,6.325715654267414,6.325715654267414,6.325715654267414,NaN,224.5,6.325715654267414,6.325715654267414,1.0,6.325715654267414,1.0,NaN
