LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_7,7,7,25,0,0,0,0,0,24.0,89.0,113.0,32.43013759472759,298.96833478591924,195.96395889007087,0.0,5.052055130472597,14.502803881801437,0.46871268713543496,4.047709647401465,4.377316884154341,704.72,121.24932313134236,32.43013759472759,0.267466545438756,1.3512557331136497,0.2674665454387561,0.5708776151460859
Track_8,8,8,15,0,0,0,0,0,14.0,90.0,104.0,7.032603714833407,578.5522210011242,741.3020655422939,0.0,4.968161991330895,12.659437552068873,1.1494940964586726,5.272794049911634,3.518586634196331,425.73333333333335,69.5542678786325,16.244739481552767,0.10110959297429203,0.5023288367738148,0.10110959297429199,1.747745370550088
Track_9,9,9,3,0,0,0,0,0,2.0,81.0,83.0,4.823339583282095,577.5368113542635,740.3636613538916,0.0,3.5979443732672833,5.5451458955154935,1.6507428510190731,5.5451458955154935,2.753758801436955,381.3333333333333,7.195888746534567,4.823339583282095,0.6702910166037439,2.4116697916410477,0.6702910166037439,2.162346323895009
Track_10,10,10,3,0,0,0,0,0,2.0,102.0,104.0,7.925220444295727,15.01562127185043,115.06408581972808,0.0,4.18150917611141,7.138149337650391,1.224869014572429,7.138149337650391,4.181320615505405,419.3333333333333,8.36301835222282,7.925220444295727,0.9476507297379384,3.9626102221478634,0.9476507297379384,0.9370045198009783
Track_11,11,11,12,0,0,0,0,0,11.0,105.0,116.0,24.121366773368266,578.6126101350118,715.0590634665144,0.0,6.719892571087596,14.906975007661048,2.613992256887745,5.7681735482519745,3.7132650085507986,397.4166666666667,73.91881828196357,25.162690822050372,0.3263224079334877,2.1928515248516605,0.32632240793348777,1.567115480908868
Track_12,12,12,247,0,0,0,0,0,246.0,114.0,360.0,45.194373382308555,306.4464847490469,211.23935212730902,0.0,1.3613660754406367,14.485802803003178,0.04673278702401299,0.933485999183311,1.7239874042217027,729.3684210526316,334.89605455839654,46.9234777397863,0.1349504503476553,0.18371696496873396,0.13495045034765527,1.788592592349127
Track_13,13,13,3,0,0,0,0,0,2.0,123.0,125.0,4.1331993333974735,574.7278899864808,678.4940652148653,0.0,3.9219396264523594,4.523074317776055,3.3208049351286637,4.523074317776055,0.8501328332829342,430.3333333333333,7.843879252904719,4.523074317776055,0.5269330646397803,2.0665996666987367,0.5269330646397803,2.0708126171380195
Track_14,14,14,44,0,0,0,0,0,43.0,126.0,169.0,74.47159414617091,516.1716999435346,617.3321409488691,0.0,5.202464631456146,12.807303381524425,0.7710901022833607,4.718883322965354,3.04775848126333,462.3636363636364,223.70597915261425,94.97067748566225,0.3328994353582553,1.7318975382830446,0.3328994353582553,1.4973597000215393
Track_15,15,15,52,0,0,0,0,0,51.0,127.0,178.0,18.68157809702096,448.6550705683128,877.6086230542702,0.0,1.2852048399887437,3.612378624686047,0.037381856085346055,1.272641415150992,0.7780576685219077,440.8269230769231,65.54544683942595,18.68157809702096,0.28501717507224145,0.36630545288276395,0.28501717507224156,1.509834647008949
Track_16,16,16,2,0,0,0,0,0,1.0,65.0,66.0,7.871372143904311,534.7918371794133,780.5103296091024,0.0,7.871372143904311,7.871372143904311,7.871372143904311,7.871372143904311,NaN,411.0,7.871372143904311,7.871372143904311,1.0,7.871372143904311,1.0,NaN
